time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/std,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/approx_kl
90,35.62,184320,-5.091584479999999,107,1714,-0.8383830413222313,0.0005374399391671351,0.5578314065933228,890,0.12384784974010783,-0.0015695943046011962,0.043212890625,1098.3284954071046,516.4486694335938,0.7654145061969757,0.0017528622
91,39.41,186368,-4.242982419999996,108,1715,-0.8370369423180819,0.0005374399391671351,0.5597364902496338,900,0.12384784974010783,-0.00036232324200682344,0.045751953125,1017.4516567230224,1125.4168701171875,0.7950327843427658,0.0018084466
92,38.68,188416,-22.028057850000003,109,1715,-0.8324605571106076,0.0005374399391671351,0.5538991689682007,910,0.12384784974010783,-0.0003409095574170351,0.041064453125,1203.4634771347046,771.7011108398438,0.8103210628032684,0.0013019424
93,36.19,190464,-3.4169913199999975,111,1714,-0.8188867431133986,0.0005374399391671351,0.5457286834716797,920,0.12384784974010783,-0.0004402962789754383,0.054296875,1144.0903931617736,711.2561645507812,0.8657924979925156,0.00178411
94,36.58,192512,-9.585805689999997,112,1713,-0.8046222310513258,0.0005374399391671351,0.5399371385574341,930,0.12384784974010783,-0.002013448280922603,0.06357421875,1036.229669380188,581.6734008789062,0.8809701353311539,0.0019495661
95,35.21,194560,-26.289728509999996,113,1712,-0.7897252645343542,0.0005374399391671351,0.5281965136528015,940,0.12384784974010783,0.00035386637755436824,0.0595703125,1043.209825897217,303.43701171875,0.8328141421079636,0.0023534922
96,38.34,196608,-17.171672729999997,114,1712,-0.7753939431160688,0.0005374399391671351,0.5226036906242371,950,0.12384784974010783,3.8648340705549344e-05,0.053076171875,1026.2464425086976,572.8020629882812,0.8664917647838593,0.0019433404
97,32.96,198656,-81.71563279,115,1713,-0.7644655767828226,0.0005374399391671351,0.5182523131370544,960,0.12384784974010783,-0.001320518042484764,0.07900390625,1074.6711797714233,495.2211608886719,0.8597799688577652,0.0021006842
98,30.65,200704,-42.174781669999994,117,1713,-0.7570319071412086,0.0005374399391671351,0.515616238117218,970,0.12384784974010783,-0.0017607504181796686,0.06787109375,854.420669746399,906.5474853515625,0.8239278793334961,0.0022696564
99,30.47,202752,-37.18472598,118,1713,-0.7520951377227902,0.0005374399391671351,0.5133039951324463,980,0.12384784974010783,0.0005122989230585517,0.052099609375,978.7099797248841,773.1815795898438,0.7009087800979614,0.0013017196
100,35.78,204800,-20.056836119999993,119,1713,-0.7455394549295307,0.0005374399391671351,0.5076781511306763,990,0.12384784974010783,-0.0020959417954145463,0.072900390625,908.9743363380433,467.6803894042969,0.7418976128101349,0.002409873
101,34.26,206848,-16.83614156,120,1713,-0.7332823162898421,0.0005374399391671351,0.5030824542045593,1000,0.12384784974010783,0.000540593057667138,0.066552734375,791.385230255127,595.3638305664062,0.7910563349723816,0.003165955
102,34.25,208896,-30.409375439999998,121,1713,-0.7193453265354037,0.0005374399391671351,0.49138814210891724,1010,0.12384784974010783,-0.00026792802636919075,0.071337890625,1032.2922251701355,908.748779296875,0.7917071133852005,0.002300762
103,35.3,210944,-35.35612604,123,1712,-0.7052476961165667,0.0005374399391671351,0.48929664492607117,1020,0.12384784974010783,-0.0025659420280135237,0.084521484375,952.727055644989,675.95556640625,0.8282023519277573,0.0039338204
104,37.44,212992,-6.026339039999989,124,1712,-0.7048977764323354,0.0005374399391671351,0.4906465709209442,1030,0.12384784974010783,0.00015598222380504013,0.047119140625,1018.0003386497498,783.6130981445312,0.7695044428110123,0.0013217482
105,32.9,215040,-33.575969369999996,125,1711,-0.6919423632323742,0.0005374399391671351,0.47759830951690674,1040,0.12384784974010783,-0.0006599672298762016,0.04658203125,1232.0641801834106,618.4940795898438,0.8306923806667328,0.0021779411
106,34.48,217088,-10.716872879999999,126,1711,-0.6751232210546732,0.0005374399391671351,0.47400137782096863,1050,0.12384784974010783,0.00023382068757200615,0.06640625,1031.8872923851013,481.362060546875,0.8465170562267303,0.0033924594
107,33.33,219136,40.47208767000001,128,1711,-0.6650092326104641,0.0005374399391671351,0.4681587517261505,1060,0.12384784974010783,-0.0010296233158442192,0.05439453125,1008.2720010757446,571.0446166992188,0.8053036034107208,0.0013385821
108,29.53,221184,27.94790400999999,129,1711,-0.6560049835592509,0.0005374399391671351,0.46314117312431335,1070,0.12384784974010783,-0.002416934698703699,0.094775390625,908.9407999038697,931.7130126953125,0.832754597067833,0.003224135
